CaseID,Activity,EnableTimestamp,StartTimestamp,EndTimestamp,Resource
81051,Start,,2016-02-01 13:23:52+02:00,2016-02-01 13:23:52+02:00,Start
81051,Traer informacion estudiante - banner,,2016-02-01 13:23:52+02:00,2016-02-01 13:23:52+02:00,8997
81051,Radicar Solicitud Homologacion,,2016-02-01 13:24:02+02:00,2016-02-01 13:24:02+02:00,8997
81051,Validar solicitud,,2016-02-01 13:27:47+02:00,2016-02-01 13:32:06+02:00,387
81051,Homologacion por grupo de cursos,,2016-02-01 21:19:41+02:00,2016-02-01 21:38:15+02:00,1007
81051,End,,2016-02-01 21:38:15+02:00,2016-02-01 21:38:15+02:00,End
81102,Start,,2016-02-01 18:53:46+02:00,2016-02-01 18:53:46+02:00,Start
81102,Traer informacion estudiante - banner,,2016-02-01 18:53:46+02:00,2016-02-01 18:53:46+02:00,6426
81102,Radicar Solicitud Homologacion,,2016-02-01 18:53:50+02:00,2016-02-01 19:09:56+02:00,6426
81102,Validar solicitud,,2016-02-03 19:47:36+02:00,2016-02-03 19:49:35+02:00,22475
81102,Homologacion por grupo de cursos,,2016-02-03 22:59:19+02:00,2016-02-03 23:48:38+02:00,1343
81102,End,,2016-02-03 23:48:38+02:00,2016-02-03 23:48:38+02:00,End
81201,Start,,2016-02-02 07:39:32+02:00,2016-02-02 07:39:32+02:00,Start
81201,Traer informacion estudiante - banner,,2016-02-02 07:39:32+02:00,2016-02-02 07:39:32+02:00,8916
81201,Radicar Solicitud Homologacion,,2016-02-02 07:39:38+02:00,2016-02-02 07:55:38+02:00,8916
81201,Notificacion estudiante cancelacion soli,,2016-02-04 04:15:31+02:00,2016-02-04 04:15:31+02:00,8916
81201,Cancelar Solicitud,,2016-02-04 06:15:12+02:00,2016-02-04 06:15:12+02:00,8916
81201,End,,2016-02-04 06:15:12+02:00,2016-02-04 06:15:12+02:00,End
81301,Start,,2016-02-02 10:30:08+02:00,2016-02-02 10:30:08+02:00,Start
81301,Traer informacion estudiante - banner,,2016-02-02 10:30:08+02:00,2016-02-02 10:30:08+02:00,4867
81301,Radicar Solicitud Homologacion,,2016-02-02 10:30:12+02:00,2016-02-02 10:30:12+02:00,4867
81301,Validar solicitud,,2016-02-02 10:38:03+02:00,2016-02-02 10:49:59+02:00,22475
81301,Cancelar Solicitud,,2016-02-02 10:38:03+02:00,2016-02-02 11:10:03+02:00,669
81301,Notificacion estudiante cancelacion soli,,2016-02-08 14:22:23+02:00,2016-02-08 14:22:23+02:00,669
81301,End,,2016-02-08 14:22:23+02:00,2016-02-08 14:22:23+02:00,End
81801,Start,,2016-02-03 15:03:14+02:00,2016-02-03 15:03:14+02:00,Start
81801,Homologacion por grupo de cursos,,2016-02-03 15:03:14+02:00,2016-02-03 16:11:05+02:00,1007
81801,Traer informacion estudiante - banner,,2016-02-03 16:13:10+02:00,2016-02-03 16:13:10+02:00,8997
81801,Radicar Solicitud Homologacion,,2016-02-03 16:13:17+02:00,2016-02-03 16:13:57+02:00,8997
81801,Validar solicitud,,2016-02-03 16:54:00+02:00,2016-02-03 16:54:00+02:00,19019
81801,End,,2016-02-03 16:54:00+02:00,2016-02-03 16:54:00+02:00,End
81802,Start,,2016-02-03 16:22:13+02:00,2016-02-03 16:22:13+02:00,Start
81802,Traer informacion estudiante - banner,,2016-02-03 16:22:13+02:00,2016-02-03 16:22:13+02:00,8997
81802,Radicar Solicitud Homologacion,,2016-02-03 16:22:14+02:00,2016-02-03 16:22:19+02:00,8997
81802,Validar solicitud,,2016-02-03 16:27:40+02:00,2016-02-03 16:29:03+02:00,387
81802,Homologacion por grupo de cursos,,2016-02-03 17:51:35+02:00,2016-02-04 02:39:09+02:00,1007
81802,End,,2016-02-04 02:39:09+02:00,2016-02-04 02:39:09+02:00,End
81803,Start,,2016-02-03 16:29:30+02:00,2016-02-03 16:29:30+02:00,Start
81803,Traer informacion estudiante - banner,,2016-02-03 16:29:30+02:00,2016-02-03 16:29:30+02:00,8997
81803,Radicar Solicitud Homologacion,,2016-02-03 16:29:31+02:00,2016-02-03 16:29:38+02:00,8997
81803,Validar solicitud,,2016-02-03 16:36:58+02:00,2016-02-03 16:38:13+02:00,387
81803,Homologacion por grupo de cursos,,2016-02-03 17:52:29+02:00,2016-02-03 20:57:36+02:00,22491
81803,End,,2016-02-03 20:57:36+02:00,2016-02-03 20:57:36+02:00,End
81804,Start,,2016-02-03 16:39:44+02:00,2016-02-03 16:39:44+02:00,Start
81804,Traer informacion estudiante - banner,,2016-02-03 16:39:44+02:00,2016-02-03 16:39:44+02:00,8997
81804,Radicar Solicitud Homologacion,,2016-02-03 16:39:45+02:00,2016-02-03 16:39:54+02:00,8997
81804,Validar solicitud,,2016-02-03 16:49:16+02:00,2016-02-03 16:50:19+02:00,387
81804,Homologacion por grupo de cursos,,2016-02-03 17:52:59+02:00,2016-02-03 18:12:02+02:00,1007
81804,End,,2016-02-03 18:12:02+02:00,2016-02-03 18:12:02+02:00,End
81805,Start,,2016-02-03 16:54:27+02:00,2016-02-03 16:54:27+02:00,Start
