CaseID,Activity,EnableTimestamp,StartTimestamp,EndTimestamp,Resource
1,Create Purchase Requisition,,2011-01-01 00:00:00-05:00,2011-01-01 00:37:00-05:00,Kim Passa
1,Create Request for Quotation,,2011-01-01 05:37:00-05:00,2011-01-01 05:45:00-05:00,Kim Passa
1,Analyze Request for Quotation,,2011-01-01 06:41:00-05:00,2011-01-01 06:55:00-05:00,Karel de Groot
1,Send Request for Quotation to Supplier,,2011-01-01 11:43:00-05:00,2011-01-01 12:09:00-05:00,Karel de Groot
1,Create Quotation comparison Map,,2011-01-01 12:32:00-05:00,2011-01-01 16:03:00-05:00,Magdalena Predutta
1,Analyze Quotation Comparison Map,,2011-01-01 22:44:00-05:00,2011-01-01 23:13:00-05:00,Immanuel Karagianni
1,Choose best option,,2011-01-01 23:13:00-05:00,2011-01-01 23:13:00-05:00,Tesca Lobes
1,Settle Conditions With Supplier,,2011-01-02 01:22:00-05:00,2011-01-02 09:20:00-05:00,Francois de Perrier
1,Create Purchase Order,,2011-01-02 09:58:00-05:00,2011-01-02 10:10:00-05:00,Karel de Groot
1,Confirm Purchase Order,,2011-01-02 14:09:00-05:00,2011-01-02 14:43:00-05:00,Sean Manney
1,Deliver Goods Services,,2011-01-02 20:49:00-05:00,2011-01-03 03:37:00-05:00,Sean Manney
1,Release Purchase Order,,2011-01-03 11:20:00-05:00,2011-01-03 11:21:00-05:00,Elvira Lores
1,Approve Purchase Order for payment,,2011-01-03 19:09:00-05:00,2011-01-03 19:10:00-05:00,Karel de Groot
1,Send Invoice,,2011-01-04 00:54:00-05:00,2011-01-04 00:54:00-05:00,Kiu Kan
1,Release Supplier's Invoice,,2011-01-04 15:08:00-05:00,2011-01-04 15:13:00-05:00,Karalda Nimwada
1,Authorize Supplier's Invoice payment,,2011-01-04 15:13:00-05:00,2011-01-04 15:13:00-05:00,Karalda Nimwada
1,Pay Invoice,,2011-01-04 15:22:00-05:00,2011-01-04 15:31:00-05:00,Pedro Alvares
2,Create Purchase Requisition,,2011-01-01 00:16:00-05:00,2011-01-01 00:29:00-05:00,Immanuel Karagianni
2,Create Request for Quotation,,2011-01-01 08:16:00-05:00,2011-01-01 08:26:00-05:00,Alberto Duport
2,Analyze Request for Quotation,,2011-01-01 09:34:00-05:00,2011-01-01 09:38:00-05:00,Karel de Groot
2,Amend Request for Quotation,,2011-01-01 10:16:00-05:00,2011-01-01 10:21:00-05:00,Christian Francois
2,Analyze Request for Quotation,,2011-01-01 11:15:00-05:00,2011-01-01 11:48:00-05:00,Magdalena Predutta
